Mode,Frequency_Hz,Trial,Speed_cm_s,Speed_m_s,Power_W,Energy_J,COT,Reynolds_number,Strouhal_number
subcarangiform,1.5,1,1.40614093838538,0.0140614093838538,1.50783513249633,42.6204237962723,10.7165705288205,7176.05858668133,5.66657280396756
subcarangiform,1.5,2,1.16123378920151,0.0116123378920151,1.47716386487365,50.518995180194,12.7127595190155,5926.20659612725,6.86166736973696
subcarangiform,1.5,3,1.17109537788624,0.0117109537788624,1.47598411961575,55.2925396871988,12.5956399822937,5976.53393972957,6.80388647283516
subcarangiform,1.5,4,1.26790902129587,0.0126790902129587,1.48050260653219,52.2445906151212,11.6694907822053,6470.60985924251,6.28436257347258
subcarangiform,1.5,5,0.978381457109055,0.00978381457109055,1.46882695887089,60.0250513936288,15.0035228055228,4993.04334628014,8.14406277030642
subcarangiform,1.5,6,0.95322110487538,0.0095322110487538,1.46586934320675,63.285622666373,15.3685336996029,4864.64073971233,8.35902600062732
carangiform,1.5,1,1.0569421016778,0.010569421016778,1.48110962345045,57.4040649901629,14.0044748157918,5393.9674447422,7.51176435057017
carangiform,1.5,2,1.34841477959845,0.0134841477959845,1.4559618066243,42.7076699912431,10.7908908419295,6881.46059431029,5.88802504995113
carangiform,1.5,3,1.13231800371612,0.0113231800371612,1.45200887946687,51.1571275740245,12.8153856690932,5778.63862121192,7.01172283222877
carangiform,1.5,4,1.03276422992069,0.0103276422992069,1.44833400789318,55.8564391180761,14.0151697286618,5270.57880033681,7.68762101744145
carangiform,1.5,5,0.945593860211696,0.00945593860211696,1.44599459893012,64.3648533051289,15.2824452291936,4825.71608211407,8.39631086249073
carangiform,1.5,6,1.12427605646589,0.0112427605646589,1.44168407631198,51.5157758114602,12.8152759078914,5737.59758254837,7.06187768950402
thunniform,1.5,1,3.62027883930475,0.0362027883930475,1.75618037270897,19.2582325782129,4.84794761243416,18475.625267553,2.49759767171317
